School,Conference,State,GSR,FGR
Appalachian State,Sun Belt,NC,78,60
Arizona State,Pac-12,AZ,86,66
Arkansas State,Sun Belt,AR,72,45
Auburn ,SEC,AL,80,61
Ball State ,MAC,IN,82,65
Baylor ,Big 12,TX,91,69
Boise State ,Mt. West,ID,88,53
Boston College,ACC,MA,92,76
Bowling Green State ,MAC,OH,72,65
Brigham Young ,Ind.,UT,80,59
Fresno State,Mt. West,CA,69,58
Central Michigan ,MAC,MI,81,73
Clemson ,ACC,SC,88,66
Coastal Carolina ,Sun Belt,SC,81,63
Colorado State ,Mt. West,CO,80,76
Dixie State ,Ind.,UT,49,28
Duke ,ACC,NC,96,90
East Carolina ,AAC,NC,72,67
Eastern Michigan ,MAC,MI,73,59
Florida Atlantic ,C-USA,FL,75,60
Florida International ,C-USA,FL,75,59
Florida State ,ACC,FL,58,43
Georgia Tech,ACC,GA,85,70
Georgia Southern ,Sun Belt,GA,64,55
Georgia State ,Sun Belt,GA,81,70
Indiana,Big Ten,IN,85,62
Iowa State ,Big 12,IA,88,70
Kansas State ,Big 12,KS,93,72
Kent State ,MAC,OH,81,59
Liberty ,Ind.,VA,67,50
Louisiana State ,SEC,LA,61,28
Louisiana Tech ,C-USA,LA,63,48
Marshall ,C-USA,WV,81,66
Miami  (Ohio),MAC,OH,92,77
Michigan State ,Big Ten,MI,84,68
Middle Tennessee State ,C-USA,TN,95,64
Mississippi State ,SEC,MS,74,62
New Mexico State ,Ind.,NM,83,63
North Carolina State ,ACC,NC,74,55
Northern Illinois ,MAC,IL,82,63
Northwestern ,Big Ten,IL,97,94
Ohio ,MAC,OH,91,77
Oklahoma State ,Big 12,OK,74,57
Old Dominion ,C-USA,VA,70,51
Oregon State ,Pac-12,OR,82,69
Pennsylvania State ,Big Ten,PA,87,71
Presbyterian College,Ind.,SC,82,66
Purdue ,Big Ten,IN,82,65
Rice ,C-USA,TX,91,88
Rutgers,Big Ten,NJ,71,55
San Diego State ,Mt. West,CA,84,69
San Jose State ,Mt. West,CA,67,61
Southern Methodist ,AAC,TX,82,67
Stanford ,Pac-12,CA,93,88
Syracuse ,ACC,NY,88,76
Tarleton State ,Ind.,TX,50,45
Temple ,AAC,PA,89,73
Texas A&M,SEC,TX,74,54
Texas Christian ,Big 12,TX,70,57
Texas State ,Sun Belt,TX,70,54
Texas Tech ,Big 12,TX,76,52
Ohio State,Big Ten,OH,81,53
Charlotte,C-USA,NC,70,68
Southern Mississippi,C-USA,MS,73,56
Tulsa,AAC,OK,69,64
Troy ,Sun Belt,AL,80,65
Tulane ,AAC,LA,87,76
Air Force,Mt. West,CO,89,
U.S. Military Academy,Ind.,NY,71,
Navy,AAC,MD,89,
Buffalo,MAC,NY,86,69
Alabama,SEC,AL,86,65
Alabama at Birmingham,C-USA,AL,69,42
Arizona,Pac-12,AZ,73,55
Arkansas,SEC,AR,84,57
California,Pac-12,CA,84,76
"California, Los Angeles",Pac-12,CA,71,54
Central Florida,AAC,FL,82,68
Cincinnati,AAC,OH,86,67
Colorado,Pac-12,CO,77,56
Connecticut,Ind.,CT,89,78
Florida,SEC,FL,93,37
Georgia,SEC,GA,59,39
Hawaii,Mt. West,HI,73,47
Houston,AAC,TX,68,58
Illinois,Big Ten,IL,91,79
Iowa,Big Ten,IA,87,65
Kansas,Big 12,KS,83,57
Kentucky,SEC,KY,86,56
Louisiana-Lafayette,Sun Belt,LA,74,55
Louisiana-Monroe,Sun Belt,LA,83,65
Louisville,ACC,KY,93,82
Maryland,Big Ten,MD,83,73
Massachusetts,Ind.,MA,70,61
Memphis,AAC,TN,90,62
Miami (Florida),ACC,FL,78,47
Michigan,Big Ten,MI,96,79
Minnesota,Big Ten,MN,96,78
Mississippi,SEC,MS,73,55
Missouri,SEC,MO,77,55
Nebraska,Big Ten,NE,90,65
Nevada-Las Vegas,Mt. West,NV,74,61
Nevada,Mt. West,NV,84,62
New Mexico,Mt. West,NM,65,42
"North Carolina, Chapel Hill",ACC,NC,66,55
North Texas,C-USA,TX,83,62
Notre Dame,Ind.,IN,91,80
Oklahoma,Big 12,OK,73,51
Oregon,Pac-12,OR,73,60
Pittsburgh,ACC,PA,93,64
South Alabama,Sun Belt,AL,79,57
South Carolina,SEC,SC,89,64
South Florida,AAC,FL,79,61
Southern California,Pac-12,CA,81,60
Tennessee,SEC,TN,84,52
Texas,Big 12,TX,79,62
Texas-El Paso,C-USA,TX,85,63
Texas-San Antonio,C-USA,TX,83,62
Toledo,MAC,OH,87,67
Utah,Pac-12,UT,90,69
Virginia,ACC,VA,86,71
Washington,Pac-12,WA,85,56
Wisconsin,Big Ten,WI,90,81
Wyoming,Mt. West,WY,87,52
Utah State ,Mt. West,UT,89,68
Vanderbilt ,SEC,TN,95,77
Virginia Tech,ACC,VA,80,68
Wake Forest ,ACC,NC,89,75
Washington State ,Pac-12,WA,85,56
West Virginia ,Big 12,WV,74,60
Western Kentucky ,C-USA,KY,74,57
Western Michigan ,MAC,MI,74,40
